respondent_id,business_type,city_tier,region,years_of_operation,n_employees,annual_revenue_band,business_size,customer_facing_packaging,decision_maker,n_decision_stakeholders,supplier_approval_formality,purchase_decision_complexity,days_to_approve_supplier,owner_involvement,current_packaging_material,monthly_packaging_spend,order_frequency,monthly_order_volume,current_supplier_type,uses_plastic_packaging,usecase_takeaway,usecase_dinein,usecase_delivery,usecase_retail,usecase_ecommerce,usecase_gifting,usecase_storage,usecase_transport,pref_food_containers,pref_bowls,pref_cups,pref_carry_bags,pref_paper_mailers,pref_corrugated_boxes,pref_meal_trays,pref_protective_packaging,pref_premium_branded,req_food_safe,req_leak_proof,req_heat_resistance,req_strength_durability,req_design_branding,req_compostability,req_appearance,pain_high_cost,pain_poor_quality,pain_delayed_delivery,pain_inconsistent_quality,pain_no_eco_options,pain_poor_customization,pain_limited_reliability,pain_moq_issue,pain_lead_time,sustainability_importance,plastic_impact_awareness,customer_demand_eco,regulatory_pressure_awareness,esg_image_importance,certification_required,lab_test_required,trust_biodegradable_claims,greenwashing_concern,barrier_higher_price,barrier_quality_concern,barrier_current_relationship,barrier_lack_trusted_suppliers,barrier_supply_inconsistency,barrier_lack_awareness,barrier_customer_rejection_fear,barrier_operational_risk,cb_samples,cb_pilot_order,cb_competitive_pricing,cb_bulk_discount,cb_quality_warranty,cb_certification_proof,cb_delivery_reliability,cb_custom_branding,cb_flexible_payment,adoption_intention,likely_adopter,expected_biodegradable_budget,willingness_to_pay_premium_pct,lead_priority_score,feedback_text,referral_count,supplier_pain_score,switching_barrier_score,trust_builder_score,sustainability_mindset_score,packaging_demand_score,price_sensitivity_score,adoption_readiness_score,commercial_value_score,operational_risk_score,customer_visibility_score,product_fit_score,customer_value_segment,adoption_risk_category
ECV1000,E-commerce Seller,Tier 2,North,16,72,10 - 50 Cr,Medium,Yes,Chef / Kitchen Manager,2,Medium,Low,20.0,Rarely,Plastic,67464,Weekly,920,Local Wholesaler,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,5,5,5,4,3,5,4,Yes,No,No,Yes,No,Yes,No,No,No,4,5,4.0,5,3,No,No,2,5,2,5,2,2,4,3,1,3,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,2,No,52919,28.2,53.9,Lead times and minimum order quantities are usually a problem with eco suppliers.,9,3,22,7,4.2,6,1.3800000000000003,58.14,93.84,13.5,4,31,Medium Value,Warm Lead
ECV1001,Café,Tier 1,West,5,68,2 - 10 Cr,Medium,Yes,Operations Manager,3,High,Medium,20.0,Sometimes,Mixed (Plastic + Paper),35389,Bi-weekly,200,Direct Manufacturer,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,4,4,3,3,3,3,5,Yes,Yes,No,Yes,No,No,Yes,No,No,5,4,4.0,3,2,Yes,Yes,4,4,5,3,3,3,4,3,3,3,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,5,Yes,27320,17.6,68.8,Open to switching if pricing is competitive and quality is proven.,6,4,27,6,3.6,5,6.34,48.17,87.32,11.5,4,24,Medium Value,Cold Lead
ECV1002,E-commerce Seller,Tier 2,North,3,48,10 - 50 Cr,Small,Yes,Founder / Director,2,High,Low,11.0,Sometimes,Plastic,36714,Weekly,696,Direct Manufacturer,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,3,3,5,4,3,1,2,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,5,5,2.0,5,5,No,Yes,2,5,3,4,3,4,5,3,1,5,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,5,Yes,25591,30.1,69.0,Looking for reliable suppliers with consistent quality and good lead times.,6,6,28,7,4.4,5,2.89,61.01,87.58,15.5,4,21,Medium Value,Warm Lead
ECV1003,Retail Store,Tier 3,East,6,5,< 50L,Micro,Yes,Procurement Head,1,High,Low,3.0,Always,Mixed (Plastic + Paper),7920,Weekly,200,Local Wholesaler,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,4,4,5,3,5,5,2,Yes,No,Yes,Yes,Yes,No,No,No,No,2,3,5.0,2,4,No,No,3,3,4,3,4,5,1,2,3,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,3,No,4946,8.8,39.2,"We are evaluating options, no immediate decision planned this quarter.",4,4,24,7,3.2,3,4.720000000000001,43.97,72.84,7.5,4,22,Low Value,Cold Lead
ECV1004,Restaurant,Tier 2,West,24,34,2 - 10 Cr,Small,Yes,Procurement Head,2,Medium,Medium,4.0,Always,Aluminium / Foil,25267,Monthly,200,Direct Manufacturer,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,4,5,3,3,5,5,3,No,No,No,No,No,Yes,No,Yes,Yes,3,4,4.0,3,5,Yes,Yes,3,5,5,4,5,5,3,4,4,4,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,1,No,16304,14.7,35.4,We tried paper containers but they leaked and customers complained.,3,3,34,7,3.8,5,6.23,42.56,84.96,11.0,4,27,Medium Value,Cold Lead
ECV1005,Other,Tier 2,West,5,29,2 - 10 Cr,Small,No,Chef / Kitchen Manager,1,High,Low,1.0,Sometimes,Paper / Cardboard,16623,Monthly,200,Direct Manufacturer,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,4,5,3,4,2,2,3,No,No,No,Yes,Yes,No,No,No,Yes,4,4,5.0,4,5,Yes,Yes,2,2,5,4,5,2,4,2,1,1,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,2,No,10402,16.2,47.6,Open to discussion but cost-benefit needs to make sense for our scale.,3,3,24,6,4.4,5,6.4799999999999995,51.26,78.03,10.5,1,25,Medium Value,Warm Lead
ECV1006,E-commerce Seller,Tier 2,North,13,129,10 - 50 Cr,Medium,Yes,Operations Manager,5,Medium,Medium,24.0,Sometimes,Mixed (Plastic + Paper),125236,Weekly,1151,Multiple Small Suppliers,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,4,3,3,4,5,5,2,No,Yes,No,No,Yes,No,Yes,Yes,No,4,2,3.0,1,5,Yes,No,4,4,3,5,4,3,2,1,3,3,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,3,No,96711,16.4,60.5,Need to see samples and understand the supply terms before committing.,6,4,24,6,3.0,2,3.0600000000000005,44.89,90.17,10.0,6,20,Medium Value,Cold Lead
ECV1007,E-commerce Seller,Tier 3,North,4,106,> 50 Cr,Medium,Yes,Committee,2,Medium,High,9.0,Sometimes,Paper / Cardboard,41180,Bi-weekly,321,Distributor,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,5,3,1,3,5,4,4,Yes,Yes,No,No,No,Yes,No,Yes,Yes,5,3,4.0,3,3,Yes,Yes,4,3,4,3,2,2,4,2,1,3,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,3,No,36393,18.4,59.9,Considering this as part of our broader sustainability roadmap.,5,5,21,7,3.6,6,4.960000000000001,55.15,90.38,10.0,7,27,Medium Value,Warm Lead
ECV1008,Restaurant,Tier 1,South,4,25,10 - 50 Cr,Small,Yes,Committee,2,Medium,High,9.0,Rarely,Paper / Cardboard,22030,Quarterly,200,Local Wholesaler,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,4,4,4,3,2,2,4,No,No,No,No,No,No,No,No,Yes,2,4,4.0,5,5,Yes,Yes,3,5,3,4,5,5,4,3,4,4,Yes,No,Yes,No,No,Yes,No,No,Yes,4,Yes,15706,13.9,48.5,Bulk pricing and dependable delivery will be the deciding factor for us.,3,1,32,4,4.0,3,4.109999999999999,42.4,80.0,12.0,5,19,Medium Value,Cold Lead
ECV1009,Café,Tier 1,North,10,84,2 - 10 Cr,Medium,Yes,Procurement Head,2,Medium,Medium,17.0,Sometimes,Plastic,31638,Daily,3145,Direct Manufacturer,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,5,5,5,5,5,4,5,Yes,No,No,No,Yes,Yes,No,Yes,Yes,4,5,2.0,5,3,Yes,Yes,5,4,3,3,4,4,5,3,3,4,Yes,No,Yes,Yes,No,No,Yes,Yes,No,5,Yes,21495,15.7,64.5,Looking for reliable suppliers with consistent quality and good lead times.,3,5,29,5,3.8,5,4.33,50.83,86.54,12.0,7,29,Medium Value,Warm Lead
